"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Matt Carroll",133,125,31.2,4.7,10.6,0.445,2.5,4.9,0.503,2.3,5.7,0.395,2.2,2.7,0.825,0.8,3.5,4.3,2.4,0.9,0.2,1.7,2,13.9,6.91,0
"Jimmy Carruth",103,48,16.2,1.6,3.5,0.455,1.6,3.5,0.455,0,0,NA,0.9,1.9,0.452,NA,NA,3.4,0.4,0.4,1.9,NA,NA,4,3.82,0
"Anthony Carter",58,29,35.3,6.9,14.6,0.474,5.8,11.2,0.519,1.1,3.4,0.33,3.4,4.8,0.714,NA,NA,4.5,6.9,2.4,0.4,NA,NA,18.4,3.59,0
"Butch Carter",114,58,24.4,2.6,5.1,0.511,NA,NA,NA,NA,NA,NA,1.4,2,0.728,NA,NA,2.5,2.9,NA,NA,2.2,2.1,6.6,8.55,0
"Howard Carter",128,64,34.1,6.3,12.7,0.495,NA,NA,NA,NA,NA,NA,2.6,3.3,0.789,NA,NA,4.4,1.8,1,0.1,NA,2.6,15.2,7.2,0
"Maurice Carter",108,81,27,4.2,10.1,0.415,2.8,6,0.456,1.5,4.1,0.354,2.1,3.1,0.688,NA,NA,3.5,1.3,0.8,0.3,2.1,1.6,12,6.27,0
"Reggie Carter",100,NA,36.9,5.6,11.9,0.473,NA,NA,NA,NA,NA,NA,3.8,4.6,0.816,NA,NA,4.5,5,NA,NA,3.6,2,15.1,2.32,0
"Ron Carter",116,NA,36.4,7.5,14.5,0.518,NA,NA,NA,NA,NA,NA,4.2,5.8,0.727,NA,NA,7,1.9,NA,NA,NA,3,19.2,-4.11,0
"Vince Carter",103,80,26,4.7,8.5,0.547,3.7,5.9,0.625,1,2.6,0.368,2,2.8,0.705,NA,NA,4.5,1.9,1.1,0.8,1.2,1.8,12.3,11.27,1
"Michael Carter-Williams",66,40,25.4,2.7,6.8,0.398,2.1,4.8,0.438,0.6,2.1,0.307,2.2,3.2,0.679,0.9,2.7,3.6,5.2,2,0.4,2.3,1.8,8.2,8.29,0
"Bill Cartwright",111,NA,31.9,7.5,12.7,0.589,NA,NA,NA,NA,NA,NA,4.1,5.6,0.734,NA,NA,10.2,1.4,NA,NA,NA,2.8,19.1,1.85,1
"Alex Caruso",137,120,28.7,2.8,6.1,0.455,2.1,4.2,0.509,0.7,2,0.34,1.7,2.5,0.685,0.8,3,3.7,4.7,2,0.4,2.5,2.5,8,5.71,0
"Sam Cassell",66,66,35.5,6.7,13.9,0.478,5,9.5,0.531,1.6,4.5,0.366,3.4,4.6,0.734,NA,NA,4.4,4.4,2.3,0.3,2.9,3.3,18.3,10.09,1
"Terry Catledge",86,83,34.7,8.4,15.1,0.556,NA,NA,0.558,NA,NA,NA,4.9,7.4,0.663,NA,NA,10.8,0.7,1.1,0.7,3.3,3,21.7,0.46,0
"Kelvin Cato",79,59,24.4,3.4,7.9,0.434,3.4,7.9,0.435,0,0,0,2.2,3.8,0.584,NA,NA,7.4,0.6,0.8,3.5,1.6,2.9,9.1,4.05,0
"Bobby Cattage",104,3,22.6,3.9,8.4,0.47,NA,NA,NA,NA,NA,NA,1.6,2.2,0.698,NA,NA,6.2,0.5,0.4,0.2,NA,NA,9.4,6.32,0
"Willie Cauley-Stein",105,70,24.5,3.3,5.6,0.593,3.3,5.6,0.593,0,0,NA,1.4,2.8,0.508,2.4,3.9,6.2,0.9,1.1,2.2,1.2,2.3,8,8.13,0
"Duane Causwell",75,42,25.3,2.8,5.5,0.504,2.8,5.5,0.505,0,0,0,1.7,2.7,0.624,NA,NA,6,0.4,0.6,2.7,0.9,2.7,7.2,3,0
"Tyler Cavanaugh",137,101,25.6,4,8.9,0.446,2.8,5.9,0.485,1.1,3,0.372,3.5,4.3,0.82,1.6,4.1,5.7,1.1,0.4,0.3,1.9,2.6,12.6,4.82,0
"Ron Cavenall",95,NA,NA,2.4,4.9,0.486,NA,NA,NA,NA,NA,NA,0.8,1.4,0.557,NA,NA,5.3,1,NA,NA,NA,2.1,5.5,-6.94,0
"Cedric Ceballos",58,57,35.5,8.4,18.2,0.463,7.6,15.5,0.49,0.8,2.7,0.305,4.5,6.7,0.671,NA,NA,10.7,1.6,1.6,0.4,3.3,2.5,22.1,3.93,1
"John Celestand",124,45,26.7,3.4,8.3,0.41,2.2,4.7,0.469,1.2,3.5,0.33,2,2.7,0.731,NA,NA,2.8,3.6,1.3,0.2,2.7,2,9.9,9.46,0
"Lionel Chalmers",123,99,31.7,4.2,9.8,0.425,2.3,4.7,0.483,1.9,5.1,0.372,2.4,3.4,0.716,0.5,2.4,2.9,3.3,1.3,0.1,2.7,2.2,12.7,4.79,0
