"name","games","gs","mpg","fg","fga","fgp","two","twoa","twop","three","threea","threep","ft","fta","ftp","orb","drb","trb","apg","spg","bpg","tpg","pfpg","ppg","sos","allstar"
"Kris Joseph",140,77,26.6,3.5,7.8,0.449,2.7,5.4,0.501,0.8,2.4,0.331,2.7,3.9,0.702,1.3,3.2,4.5,1.5,1.3,0.5,1.6,1.6,10.5,8.37,0
"Yvon Joseph",65,60,29.8,4.4,8.1,0.549,NA,NA,0.471,NA,NA,NA,2.8,4,0.708,NA,NA,6.9,0.8,0.6,0.3,2.4,2.9,11.7,7.86,0
"Jeff Judkins",108,84,32,6.4,11.8,0.543,NA,NA,NA,NA,NA,NA,3.2,4,0.806,NA,NA,5.8,2.2,NA,NA,NA,2.3,16.1,3.71,0
"Chris Kaman",83,45,26.3,5.4,8.8,0.608,5.4,8.8,0.608,0,0,NA,4.3,6,0.713,2.7,5.8,8.5,0.8,0.5,2.2,3.1,2.8,15.1,1.05,1
"Frank Kaminsky",144,79,20.4,3.7,7,0.522,3,5.1,0.58,0.7,1.9,0.369,2.1,2.7,0.763,1.3,3.4,4.6,1.3,0.5,1.1,0.8,1.6,10.1,9.61,0
"Jason Kapono",127,126,34,5.5,11.7,0.469,3,6.1,0.489,2.5,5.6,0.446,3,3.6,0.83,1.5,3.6,5.1,2.1,0.9,0.1,2.3,2.3,16.5,10.68,0
"Coby Karl",127,111,29.7,3.9,9.5,0.413,1.8,3.9,0.474,2.1,5.6,0.371,3.4,4.3,0.787,0.7,3.3,4,3.2,0.9,0.5,2.7,2.7,13.4,1.46,0
"Sasha Kaun",135,65,16.5,2.5,4.3,0.568,2.5,4.3,0.568,0,0,NA,1.2,2.4,0.512,1.5,2.3,3.9,0.3,0.4,1.1,0.8,2.3,6.1,8.38,0
"Clarence Kea",117,NA,NA,5.9,11.4,0.515,NA,NA,NA,NA,NA,NA,3.7,5.9,0.63,NA,NA,9.8,0.7,0.7,0.4,2.2,2.8,15.5,-1.57,0
"Adam Keefe",125,29,32,6.6,11.1,0.6,6.6,11,0.601,0.1,0.1,0.467,5.2,7.1,0.736,NA,NA,9,1.7,1.1,0.4,2.5,2.1,18.6,8.24,0
"Harold Keeling",114,36,29.1,5.9,11.9,0.496,NA,NA,NA,NA,NA,NA,3.3,4.8,0.702,NA,NA,4.1,3,2.3,0.4,2.2,1.9,15.2,1.29,0
"Rich Kelley",76,24,NA,6.9,13.9,0.497,NA,NA,NA,NA,NA,NA,4.7,6,0.788,NA,NA,12.4,3,NA,NA,NA,3.4,18.6,6.24,0
"Clark Kellogg",86,84,35,6.3,12.9,0.485,NA,NA,NA,NA,NA,NA,2.4,3.1,0.772,NA,NA,10.1,1.9,1.2,0.7,3.1,2.8,14.9,8.64,0
"Ryan Kelly",41,0,11.9,0.7,1.2,0.529,0.7,1.2,0.54,0,0,0,0.4,0.9,0.474,0.7,1.2,1.9,0.4,0.2,0.3,0.6,2.2,1.8,-2.08,0
"Greg Kelser",115,81,32.5,7.1,13.2,0.541,NA,NA,NA,NA,NA,NA,3.3,5.1,0.634,NA,NA,9.5,1.7,1.7,1.1,NA,3.5,17.5,6.99,0
"Tim Kempton",108,71,25.9,2.9,5.6,0.516,NA,NA,NA,NA,NA,NA,2.8,3.8,0.756,NA,NA,5.5,1.5,0.6,0.4,NA,2.6,8.6,2.79,0
"Luke Kennard",73,47,31.2,5.2,11.2,0.461,3.2,6.1,0.526,2,5.1,0.383,3.4,3.9,0.867,1.1,3.3,4.3,2,0.9,0.3,1.2,2.1,15.7,10.75,0
"Larry Kenon",30,NA,36.6,9.1,17.3,0.525,NA,NA,NA,NA,NA,NA,1.9,3.3,0.57,NA,NA,16.7,NA,NA,NA,NA,2.9,20.1,4.64,1
"Jonathan Kerner",78,52,18.3,2.5,5.4,0.454,2.4,5.3,0.458,0,0.1,0.25,1.8,2.6,0.678,NA,NA,4.2,0.7,0.4,0.5,1.6,2,6.8,3.36,0
"Red Kerr",70,NA,NA,7.2,18.3,0.395,NA,NA,NA,NA,NA,NA,4.1,6.6,0.624,NA,NA,NA,NA,NA,NA,NA,2.4,18.6,6.34,0
"Steve Kerr",129,71,32.1,4.3,7.8,0.548,NA,NA,0.521,NA,NA,0.573,1.7,2.1,0.815,NA,NA,2.2,3.4,1,0.1,1.3,1.1,11.2,5.32,0
"Alec Kessler",123,0,28.1,5,10,0.499,4.9,9.7,0.502,0.1,0.3,0.417,4.5,5.9,0.763,NA,NA,7.3,0.9,0.6,0.4,2.2,2.7,14.5,6.91,0
"Lari Ketner",94,88,28.1,4.9,9.9,0.499,4.9,9.9,0.5,0,0,0,2.3,3.9,0.603,NA,NA,7,0.8,0.4,2.2,1.8,3.1,12.2,7.45,0
"Randolph Keys",121,75,28.4,5.7,12,0.476,NA,NA,0.49,NA,NA,0.294,1.7,2.4,0.698,NA,NA,6,0.9,1,0.6,1.4,3.2,13.4,5.42,0
"Jason Kidd",59,57,33.5,5.1,10.8,0.468,3.8,7,0.541,1.3,3.8,0.333,3.5,5.1,0.677,NA,NA,5.9,8.4,3.5,0.3,4.1,2.5,14.9,7.22,1
"Warren Kidd",83,53,30.3,6,9,0.664,6,9,0.664,0,0,NA,2.1,3.7,0.564,NA,NA,12.6,1.2,0.7,2.2,NA,NA,14,-4.74,0
"Michael Kidd-Gilchrist",40,39,31.1,4,8.2,0.491,3.7,6.9,0.535,0.3,1.3,0.255,3.6,4.8,0.745,2.6,4.9,7.4,1.9,1,0.9,2.2,2.4,11.9,7.93,0
"Carl Kilpatrick",79,NA,NA,3.7,7.9,0.471,NA,NA,NA,NA,NA,NA,1,1.7,0.577,NA,NA,6.8,0.6,0.3,1.1,NA,3.1,8.5,-6.69,0
"Sean Kilpatrick",140,104,30.8,5.1,12.1,0.419,2.8,5.6,0.501,2.2,6.4,0.347,3,3.8,0.78,1.3,3.1,4.3,2,1.2,0.2,1.7,1.3,15.3,6.15,0
"Bo Kimble",104,77,27.4,8.4,17.3,0.484,NA,NA,0.528,NA,NA,0.407,3.9,4.8,0.822,NA,NA,4.9,1.7,1.8,0.4,1.9,2.8,22.6,2.6,0
"Stan Kimbrough",123,120,35.4,6.6,13.4,0.492,NA,NA,0.521,NA,NA,0.412,2.7,3.6,0.756,NA,NA,3.1,3.4,2,0.1,NA,NA,17.1,-1.38,0
"Chad Kinch",112,52,36.4,7.6,15.5,0.488,NA,NA,NA,NA,NA,NA,2.9,3.8,0.779,NA,NA,3.7,3.1,1,0.5,NA,2.3,18,-1.31,0
"Albert King",118,112,31.2,7.3,14.2,0.515,NA,NA,NA,NA,NA,NA,2.8,3.7,0.775,NA,NA,6.1,2.6,1,0.4,3.1,2.7,17.4,7.49,0
"Bernard King",76,NA,NA,10.7,18.1,0.59,NA,NA,NA,NA,NA,NA,4.5,6.2,0.719,NA,NA,13.2,2.1,NA,NA,NA,3.7,25.8,6.03,1
"Chris King",113,105,31.2,6.2,12,0.519,6,11.3,0.528,0.3,0.7,0.377,2.5,4,0.64,NA,NA,6.1,1.6,0.9,0.9,2.3,2.1,15.2,8.06,0
"Frankie King",56,56,37.6,9.1,18.7,0.484,7.6,14.6,0.521,1.4,4.1,0.352,7.1,9.2,0.78,NA,NA,7.4,2.7,1.8,0.4,3.9,2.6,26.7,-1.99,0
"Jimmy King",130,117,31.7,4.5,9.4,0.477,3.5,6.7,0.528,0.9,2.7,0.351,2,2.9,0.676,NA,NA,4.1,2.7,1.4,0.3,2.5,2.1,11.9,11.32,0
"Reggie King",118,60,34.1,7.1,12.8,0.556,NA,NA,NA,NA,NA,NA,4.1,6.2,0.659,NA,NA,10.8,1.7,NA,NA,2.3,2.7,18.4,6.56,0
"Rich King",124,75,23.6,4.5,8.1,0.564,4.5,8,0.565,0,0,0.4,2.8,4.1,0.676,NA,NA,6.1,1.8,0.5,1.5,2.2,2.9,11.9,7.95,0
"Stacey King",114,53,26.5,6.6,12.9,0.516,NA,NA,0.523,NA,NA,0,4.3,6.3,0.69,NA,NA,7.2,1.1,0.7,2,1.9,2.4,17.6,8.56,0
"Tarence Kinsey",123,96,24.9,3.4,8.2,0.421,2.4,5.2,0.458,1,2.9,0.356,1.8,2.5,0.737,1,2.3,3.3,1.6,1.2,0.3,1.6,1.7,9.8,7.57,0
"Alex Kirk",4,0,1,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0.3,0,0,0,0.3,0,7.38,0
"Curtis Kitchen",118,66,26.5,2.4,5.1,0.481,NA,NA,NA,NA,NA,NA,1.4,2.7,0.525,NA,NA,6.9,0.8,0.6,2.2,1.8,3.2,6.3,1.88,0
"Greg Kite",112,NA,26.3,2.6,5.8,0.452,NA,NA,NA,NA,NA,NA,1.2,2.4,0.504,NA,NA,7.6,1.1,0.5,1.9,1.6,3.3,6.4,4.28,0
"Kerry Kittles",122,110,36.1,6.7,14.1,0.478,4.5,8.3,0.536,2.3,5.8,0.394,2.6,3.7,0.719,NA,NA,5.9,3.3,2.3,0.4,2,1.5,18.4,9.53,0
"Joe Kleine",126,78,29.4,5.6,9.5,0.587,NA,NA,NA,NA,NA,NA,3.4,4.7,0.723,NA,NA,7,0.6,0.7,0.4,NA,2.6,14.5,3.82,0
"Linas Kleiza",49,28,28.7,4.7,11.3,0.413,3.9,8.6,0.453,0.8,2.8,0.287,4.3,6.1,0.707,2.5,5.4,7.9,1.3,0.6,0.3,2.4,2.9,14.4,9.14,0
"Duane Klueh",35,NA,NA,6.3,17.3,0.363,NA,NA,NA,NA,NA,NA,4.5,6.3,0.714,NA,NA,NA,NA,NA,NA,NA,1.5,17.1,NA,0
"Billy Knight",78,NA,NA,9.6,18.4,0.522,NA,NA,NA,NA,NA,NA,3,4,0.748,NA,NA,12,2.6,NA,NA,NA,2.4,22.2,0.62,1
"Brandin Knight",127,119,33.9,3.9,9.7,0.399,2.2,4.6,0.489,1.6,5.1,0.32,1.9,3.6,0.537,0.7,3.1,3.9,6.2,2.3,0.4,3.2,2.6,11.3,4.98,0
"Brandon Knight",38,38,35.9,5.7,13.5,0.423,3.4,7.4,0.461,2.3,6.1,0.377,3.6,4.5,0.795,0.7,3.4,4,4.2,0.7,0.2,3.2,2.2,17.3,8.91,0
"Brevin Knight",115,85,32.2,4.5,10.8,0.416,3.7,8.4,0.439,0.8,2.4,0.336,5.1,6.4,0.798,NA,NA,3.8,6.8,2.6,0.1,3.5,2.8,14.9,7.62,0
"Negele Knight",122,59,33.3,5.2,11,0.469,NA,NA,0.499,NA,NA,0.425,3.7,5,0.746,NA,NA,3.1,5.4,1.3,0.1,2.9,2.6,14.8,3.21,0
"Toby Knight",101,NA,20.6,4,7.9,0.511,NA,NA,NA,NA,NA,NA,1.3,1.9,0.682,NA,NA,7.3,0.7,NA,NA,NA,2.7,9.4,5.45,0
"Travis Knight",124,41,19.2,2.6,5,0.518,2.6,4.9,0.522,0,0,0,1,1.6,0.622,NA,NA,6,1.1,0.6,1.4,1.4,2.5,6.1,7.54,0
"Jon Koncak",123,60,32.3,5.8,10.4,0.559,NA,NA,NA,NA,NA,NA,2.9,4.5,0.649,NA,NA,9.5,1.4,0.6,2.3,2.1,3.3,14.5,3.79,0
"Frank Kornet",117,72,20.6,3.2,6,0.534,NA,NA,0.543,NA,NA,0.333,1.5,2.4,0.642,NA,NA,4.5,0.8,0.6,0.2,1.1,2,8,8.51,0
"Luke Kornet",128,76,24.1,3,7.2,0.417,1.8,3.5,0.519,1.2,3.7,0.32,1.7,2.2,0.779,1.2,3.6,4.8,1.1,0.4,1.6,1.1,2,8.9,8.03,0
"Kyle Korver",128,95,27.7,4.4,9.3,0.472,1.5,2.9,0.515,2.9,6.4,0.453,2.4,2.7,0.891,1.3,3.9,5.2,2.3,1.3,0.5,1.8,2.3,14.1,1.77,1
"Kosta Koufos",37,35,27.1,6,11.8,0.508,5.4,10.1,0.535,0.6,1.7,0.349,1.8,2.7,0.68,2.6,4,6.7,0.5,0.4,1.8,1.5,2.2,14.4,7.97,0
"Joel Kramer",99,NA,NA,4.1,7.9,0.521,NA,NA,NA,NA,NA,NA,1.4,1.8,0.765,NA,NA,7.2,1.6,NA,NA,NA,3.1,9.6,1.67,0
"Wayne Kreklow",109,55,29.8,5.6,11.3,0.5,NA,NA,NA,NA,NA,NA,2.2,2.8,0.792,NA,NA,3.9,2.6,1.1,0.1,2.5,3.4,13.5,3.49,0
"Larry Krystkowiak",120,34,30.5,5.8,10.4,0.561,NA,NA,NA,NA,NA,NA,5.2,6.5,0.79,NA,NA,9.2,1.1,0.8,0.2,1.8,2.1,16.8,-1.13,0
"Bruce Kuczenski",114,33,18.3,2,4.4,0.452,NA,NA,NA,NA,NA,NA,1.4,2,0.716,NA,NA,4,0.6,0.6,NA,NA,2.7,5.4,1.46,0
"John Kuester",121,NA,NA,2.1,4.3,0.482,NA,NA,NA,NA,NA,NA,1.2,1.6,0.756,NA,NA,1.4,3.1,1.9,0.1,NA,2,5.4,8.13,0
"Kevin Kunnert",72,NA,NA,6.7,12.9,0.519,NA,NA,NA,NA,NA,NA,2.5,3.7,0.663,NA,NA,12.7,NA,NA,NA,NA,3.9,15.9,5.41,0
"Mitch Kupchak",119,NA,NA,5.5,9.3,0.586,NA,NA,NA,NA,NA,NA,2.6,3.9,0.665,NA,NA,8.5,1.3,0.5,1.1,NA,2.4,13.5,7.46,0
"Rob Kurz",108,75,23.3,2.8,6,0.468,2.1,4.4,0.49,0.7,1.6,0.409,3.1,3.8,0.81,2,4,6,1.3,0.6,1.1,1.5,2.5,9.4,6.22,0
"Skal Labissiere",36,18,15.8,2.7,5.3,0.516,2.7,5.2,0.521,0,0.1,0,1.1,1.7,0.661,1,2.2,3.1,0.3,0.3,1.6,0.9,3,6.6,8.84,0
"Sam Lacey",89,NA,NA,6.7,14.7,0.454,NA,NA,NA,NA,NA,NA,2.9,4.4,0.66,NA,NA,14.2,1.1,NA,NA,NA,2.6,16.3,2.19,1
"Christian Laettner",148,128,27.4,5.6,9.8,0.574,5.1,8.7,0.586,0.5,1.1,0.485,4.8,6,0.806,NA,NA,7.8,1.8,1.6,1,2.7,2.9,16.6,9.46,1
"Oliver Lafayette",64,63,34.4,4.9,13.6,0.359,2.4,5.8,0.409,2.5,7.8,0.322,2.7,3.8,0.725,1.3,3.7,5.1,2.5,2.9,0.2,2,2.8,15,2.54,0
"Raef LaFrentz",131,131,27.5,6.3,11.3,0.555,6.2,11.1,0.56,0.1,0.3,0.371,3.1,4.3,0.712,NA,NA,9.1,0.7,0.7,1.1,2,2.5,15.8,7.93,0
"Tom LaGarde",102,NA,NA,3.6,6.2,0.583,NA,NA,NA,NA,NA,NA,2.7,3.5,0.763,NA,NA,5.3,0.8,0.9,0.9,NA,2.7,9.9,8.13,0
"Bill Laimbeer",69,30,21.1,3,5.6,0.538,NA,NA,NA,NA,NA,NA,1.4,2,0.704,NA,NA,6.3,1,NA,NA,NA,2.8,7.4,5.11,1
"Doron Lamb",78,49,29.8,4.3,8.9,0.485,2.5,5,0.492,1.8,3.9,0.475,2.6,3.2,0.811,0.4,1.9,2.3,1.6,0.5,0.1,1.2,2,13.1,8.42,0
"Jeremy Lamb",75,74,32.1,5.3,11,0.482,3.8,6.6,0.573,1.6,4.5,0.348,1.9,2.4,0.806,1.1,3.6,4.7,1.7,1,0.6,1.6,1.6,14.1,9.25,0
"John Lambert",83,NA,NA,4.2,8,0.519,NA,NA,NA,NA,NA,NA,1.5,2.3,0.679,NA,NA,7.5,1,NA,NA,NA,2.8,9.9,6.32,0
"Jeff Lamp",123,33,34.4,6.8,13.9,0.492,NA,NA,NA,NA,NA,NA,5.2,6.1,0.849,NA,NA,4.2,2,0.9,0.1,2.8,2.1,18.8,6.66,0
"Sean Lampley",123,99,30.5,5.4,10.9,0.494,5.2,10.2,0.512,0.1,0.7,0.21,3.6,5.3,0.671,NA,NA,7.2,2.4,0.7,0.6,2.7,2.5,14.4,8.37,0
"Carl Landry",64,63,29.9,6.3,10.5,0.602,6.1,9.8,0.628,0.2,0.7,0.233,5.6,7.9,0.714,3,4,7.1,1.2,1,0.8,2.9,3,18.4,8.86,0
"Marcus Landry",121,75,25,3.5,7.2,0.49,3,5.8,0.523,0.5,1.5,0.361,1.6,2.4,0.67,1.5,2.7,4.2,1.2,0.6,0.8,1.5,2.1,9.2,7.34,0
"Mark Landsberger",51,23,35.5,6.6,13.6,0.482,NA,NA,NA,NA,NA,NA,3.1,5,0.621,NA,NA,11,0.9,NA,NA,NA,1.7,16.2,4.85,0
"Jerome Lane",93,81,31.9,4.7,8.9,0.525,NA,NA,0.549,NA,NA,0.267,3.7,5.8,0.628,NA,NA,10.4,2.2,1.1,0.4,2.3,2.8,13.1,7.33,0
"Andrew Lang",121,86,21.7,2.9,5.9,0.489,NA,NA,0.515,NA,NA,NA,1.1,2,0.575,NA,NA,5.7,0.3,0.4,2.1,1.4,2.9,6.9,3.74,0
"Antonio Lang",135,87,22.4,2.7,4.8,0.57,2.7,4.7,0.573,0,0,0,2.1,3.1,0.659,NA,NA,4.3,0.7,0.5,0.8,1.5,2.3,7.5,10.15,0
"Trajan Langdon",136,129,28.8,4.6,10.1,0.451,2.1,4.3,0.486,2.5,5.9,0.426,2.8,3.3,0.862,NA,NA,2.9,1.9,0.9,0.2,1.5,2.1,14.5,10.08,0
"Keith Langford",136,99,28.9,4.9,10,0.495,4.2,7.7,0.544,0.8,2.3,0.328,2.7,4.2,0.649,1.8,2.5,4.3,2.4,0.9,0.5,2,2.1,13.3,10.04,0
"Dan Langhi",121,61,24.4,4,9,0.445,2.9,6,0.475,1.1,3,0.383,3.3,3.9,0.831,NA,NA,4.6,0.7,0.5,0.2,1.6,1.5,12.4,7.29,0
"Bob Lanier",75,NA,NA,11.3,19.7,0.576,NA,NA,NA,NA,NA,NA,4.9,7.3,0.667,NA,NA,15.7,NA,NA,NA,NA,3,27.6,1.29,1
"Shane Larkin",68,54,31.3,3.8,8.6,0.438,2.3,4.6,0.491,1.5,4,0.375,2.2,2.7,0.808,0.5,2.7,3.2,3.6,1.8,0.1,2.1,1.6,11.2,7.02,0
"Rusty LaRue",107,31,18.8,2.1,4.7,0.45,0.7,1.4,0.487,1.4,3.3,0.434,0.6,0.7,0.865,NA,NA,1.9,1,0.6,0,0.9,1.2,6.2,9.71,0
"Stephane Lasme",118,90,24.2,3.2,5.4,0.595,3.2,5.4,0.595,0,0,NA,2.2,3.5,0.622,2.8,3.6,6.4,0.9,0.7,3.4,1.8,3.1,8.6,1.93,0
"Zach LaVine",37,1,24.4,3.4,7.8,0.441,2.1,4.3,0.494,1.3,3.5,0.375,1.3,1.8,0.691,0.5,2.1,2.5,1.8,0.9,0.2,1.1,2,9.4,7.62,1
"Acie Law",122,106,30.8,5,10.6,0.466,4,8,0.502,0.9,2.6,0.357,2.8,3.7,0.76,0.5,2.6,3.1,4.5,1.3,0,2.5,2.6,13.7,4.53,0
"Gani Lawal",99,91,24.3,4.5,8.2,0.548,4.5,8.2,0.55,0,0,0,2.8,5,0.552,2.7,4.5,7.2,0.4,0.6,1.3,2.1,2.4,11.8,8.64,0
"Edmund Lawrence",102,NA,NA,8.3,16.9,0.493,NA,NA,NA,NA,NA,NA,2.8,4.9,0.563,NA,NA,11.9,1.9,NA,NA,NA,3.4,19.5,-7.19,0
"Jason Lawson",131,131,29.1,4.1,7,0.586,4.1,6.9,0.587,0,0,0,3.8,5.5,0.692,NA,NA,6.9,1.4,0.7,2.9,2.6,3.5,11.9,10.1,0
"Ty Lawson",105,95,27,4.4,8.5,0.517,3.3,5.9,0.568,1.1,2.6,0.403,3.2,4.1,0.78,0.6,2.3,2.9,5.8,1.8,0.1,2.1,2,13.1,8.59,0
"Jake Layman",141,115,27.9,3.4,7.7,0.445,2,3.8,0.53,1.4,3.9,0.362,1.9,2.6,0.759,1.1,3.7,4.8,1.1,0.9,0.8,1.4,1.9,10.2,7.18,0
"Jeff Lebo",133,107,30.4,3.9,8.2,0.479,NA,NA,0.524,NA,NA,0.428,2.3,2.8,0.839,NA,NA,2.5,4.4,1.2,0.1,2,2.1,11.8,10.09,0
"Eric Leckner",131,NA,29.1,5.7,9.4,0.612,NA,NA,0.636,NA,NA,NA,3.3,4.8,0.681,NA,NA,5.9,0.4,0.5,1.3,NA,3.2,14.8,2.68,0
"Butch Lee",115,NA,35.4,5.8,12.2,0.475,NA,NA,NA,NA,NA,NA,3.5,4.1,0.848,NA,NA,3.3,3.3,NA,NA,NA,2.1,15.1,4.54,0
"Courtney Lee",127,127,31.2,6.3,13.6,0.464,4.4,8.8,0.498,1.9,4.8,0.401,3.1,3.7,0.817,1.7,3.5,5.2,2.2,1.9,0.6,2.5,2.5,17.6,-1.08,0
"Damion Lee",125,121,32.8,5.1,11.7,0.433,3,6.1,0.5,2.1,5.7,0.362,3.9,4.6,0.843,0.9,3.9,4.8,2,1.1,0.2,1.7,2.4,16.1,0.78,0
"David Lee",127,93,25,4.3,7.4,0.581,4.3,7.3,0.584,0,0,0,2.8,4,0.681,2.2,4.6,6.8,2,0.9,0.9,2.1,2.2,11.3,8.11,1
"Doug Lee",116,64,22.2,3,6.3,0.482,NA,NA,0.542,NA,NA,0.383,1.2,1.8,0.662,NA,NA,3.6,2.3,0.8,0,1.5,2.1,7.6,5.6,0
"Keith Lee",128,66,34.6,7.3,14,0.518,NA,NA,NA,NA,NA,NA,4.3,5.5,0.782,NA,NA,10.4,2,0.8,2.5,2.9,3.3,18.8,4.83,0
"Kurk Lee",122,41,23,4.8,10.8,0.446,NA,NA,0.504,NA,NA,0.353,3.2,3.9,0.831,NA,NA,3.2,2,1.7,0.1,NA,NA,14.1,-1.06,0
"Malcolm Lee",94,65,26.7,3.3,7.5,0.441,2.6,4.8,0.533,0.8,2.7,0.278,2.3,3.2,0.717,0.8,2.2,3,2,0.8,0.2,1.7,2,9.7,7.66,0
"Rock Lee",100,NA,NA,1.8,4.3,0.431,NA,NA,NA,NA,NA,NA,1.1,1.5,0.728,NA,NA,3.5,1,NA,NA,NA,2.2,4.7,4.89,0
"Ron Lee",112,NA,35.8,7.5,17.9,0.418,NA,NA,NA,NA,NA,NA,3.7,4.9,0.738,NA,NA,5.2,4.8,NA,NA,NA,3.4,18.6,6.47,0
"Ed Leede",50,NA,NA,5.6,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.6,1.022,NA,NA,NA,NA,NA,NA,NA,1.7,14.8,NA,0
"Tim Legler",121,77,32.3,5.5,11.3,0.486,NA,NA,0.502,NA,NA,0.456,1.8,2.2,0.791,NA,NA,3.9,2,0.9,0.1,1.4,2.4,14,-2.02,0
"Alex Len",60,48,24.5,3.8,7,0.538,3.7,6.8,0.548,0,0.2,0.111,2.2,3.3,0.663,2.4,4.5,7,0.8,0.2,2.1,1.6,2.6,9.7,5.33,0
"Voshon Lenard",127,126,29.7,5.7,12.7,0.448,3.5,6.8,0.521,2.2,5.9,0.366,3,3.7,0.802,NA,NA,3.8,2.5,1.4,0.3,1.9,2.6,16.6,9.12,0
"Gary Leonard",132,68,16.8,2.6,4.7,0.56,NA,NA,0.585,NA,NA,NA,1.2,2.3,0.516,NA,NA,4,0.7,0.3,0.7,1.4,1.9,6.4,8.64,0
"Kawhi Leonard",70,69,31.9,5.4,12,0.449,4.8,9.7,0.497,0.6,2.3,0.25,2.8,3.7,0.744,3.3,6.9,10.2,2.2,1.4,0.6,2.2,2.5,14.1,5.29,1
"Meyers Leonard",65,30,19.8,3,5.4,0.567,3,5.2,0.585,0,0.2,0.083,1.6,2.2,0.729,1.3,3.4,4.7,0.7,0.3,1.1,1.4,2.2,7.7,9.55,0
"Jim Les",118,115,37.3,3.7,7.8,0.475,NA,NA,NA,NA,NA,NA,2.3,2.9,0.773,NA,NA,3,7.5,1.1,0,2.8,2.7,9.7,-1.47,0
"Travis Leslie",90,68,26.1,4.6,9.6,0.482,4.4,9,0.492,0.2,0.6,0.333,2.7,3.7,0.743,2.7,3.4,6.1,2.1,1.1,0.7,2,1.8,12.2,6.56,0
"Ronnie Lester",99,NA,NA,6.3,13.3,0.471,NA,NA,NA,NA,NA,NA,4.4,5.6,0.774,NA,NA,2.3,4.8,1.4,0.2,NA,2.5,16.9,7.46,0
"Clifford Lett",130,37,18.6,2,4.1,0.486,NA,NA,0.545,NA,NA,0.353,1.5,2.3,0.667,NA,NA,2,1.7,0.8,0.1,NA,NA,5.9,8.1,0
"Jon Leuer",123,68,22.8,4.2,8.7,0.482,3.4,6.5,0.521,0.8,2.2,0.368,2,2.7,0.723,1.3,3.2,4.5,1.1,0.4,0.7,1.2,1.6,11.2,8.06,0
"Fat Lever",113,88,30.3,3.7,8.2,0.45,NA,NA,NA,NA,NA,NA,2.7,3.5,0.753,NA,NA,4,3.9,2.1,0.3,2.7,2.5,10.1,5.79,1
"Caris LeVert",103,70,26.4,3.6,8.2,0.434,2.3,4.9,0.456,1.3,3.2,0.401,2,2.6,0.77,0.4,3.2,3.5,2.7,0.9,0.2,1.3,1.5,10.4,9.3,0
"Cliff Levingston",91,60,32.1,6.6,12.2,0.538,NA,NA,NA,NA,NA,NA,3,4.9,0.621,NA,NA,10.6,1.6,NA,0.7,2.8,3.1,16.2,2.9,0
"Cedric Lewis",95,37,19.8,2.1,4.4,0.476,2.1,4.4,0.476,0,0,NA,1.5,2.7,0.545,NA,NA,4.5,0.4,0.7,2.5,1.3,2,5.6,8.11,0
"Quincy Lewis",127,61,23.4,4.8,10.4,0.46,3.8,7.5,0.505,1,2.9,0.344,2.1,2.9,0.723,NA,NA,4,1.5,1.4,0.7,1.5,2.7,12.7,8.59,0
"Ralph Lewis",116,60,36.1,5.8,11,0.53,NA,NA,NA,NA,NA,NA,3.9,5.5,0.705,NA,NA,8.3,1,1.7,0.8,1.8,2.6,15.6,-1.92,0
"Reggie Lewis",122,92,34.3,8.5,17.2,0.497,NA,NA,0.524,NA,NA,0.33,4.9,6.4,0.756,NA,NA,7.9,1.7,1.9,1.3,2.7,2.7,22.2,-4.2,1
"Marcus Liberty",65,53,26.2,5,10,0.495,4.8,9.5,0.499,0.2,0.5,0.424,2.5,3.2,0.769,NA,NA,5.3,1.2,1.1,0.6,1.6,2.3,12.6,11.12,0
"Todd Lichti",124,86,33.1,6.6,12.3,0.538,NA,NA,0.555,NA,NA,0.477,4.7,5.6,0.84,NA,NA,5.3,2.5,1.3,0.2,2.4,2.2,18.8,6.06,0
"DeAndre Liggins",100,29,21.9,1.9,4.8,0.407,1.3,2.9,0.455,0.6,1.9,0.332,1.3,2,0.643,0.5,2.5,3,2.1,0.9,0.5,1.5,1.9,5.8,6.85,0
"Damian Lillard",104,98,32.3,5.6,12.6,0.446,3.3,6.5,0.497,2.4,6.1,0.39,5,5.8,0.867,0.4,3.9,4.3,3.5,1.2,0.2,2.4,2.1,18.6,-2.21,1
"Jeremy Lin",115,87,29.2,4.4,9.1,0.481,3.5,6.3,0.547,0.9,2.8,0.333,3.2,4.3,0.733,0.9,3.4,4.3,3.5,2,0.6,2.9,2.9,12.9,-4.84,0
"Alton Lister",82,65,27.1,4.8,9.2,0.523,NA,NA,NA,NA,NA,NA,2.3,3.8,0.611,NA,NA,8.2,1.6,0.5,1.8,3,3.4,12,5.69,0
"Randy Livingston",29,28,29.9,3.6,9.2,0.392,2.9,6.3,0.459,0.7,2.9,0.247,2.5,3.4,0.72,NA,NA,3.2,7.6,2.3,0.2,4.2,2.1,10.4,6.31,0
"Lewis Lloyd",56,56,36.9,11.1,20.2,0.549,NA,NA,NA,NA,NA,NA,5.9,8.2,0.724,NA,NA,12.4,2.7,NA,NA,3.2,2.8,28.2,4.21,0
"Scott Lloyd",83,61,26.1,5.4,10.7,0.499,NA,NA,NA,NA,NA,NA,2.4,3.4,0.713,NA,NA,6.7,NA,NA,NA,NA,3.3,13.2,4.61,0
